0,0
0,1416
1500,1416
2704,1407
3010,1414
3215,1483
3458,1560
3708,1648
3863,1696
3998,1711
4167,1728
4479,1622
4800,1600
4900,1580
0,0
4920,1420
5768,1401
6640,1394
7293,1385
7714,1387
0,0
5600,1800
6350,1900
7002,1361
0,0
6673,1326
6762,1230
6891,1237
7034,1241
7153,1121
7396,852
7874,958
8039,1003
8186,957
8444,930
8649,1081
0,0
7649,1118
8433,1103
9150,1109
9259,1108
9378,1149
9528,1210
9772,1214
10041,1198
10126,1143
10178,1082
10358,1087
10462,1093
11015,1107
0,0
10955,1523
11148,1300
11353,1364
11612,1437
11723,1309
11946,1143
12254,1166
12515,1280
12825,1630
13022,1772
13476,1805
14420,1892
14713,1718
14963,1599
15232,1730
15396,1800
15547,1732
15664,1656
15847,1408
16002,1173
16387,1173
16689,1208
16961,1153
0,0
16880,1059
17761,1063
18705,1057
0,0
18946,1050
19358,1048
19751,1051
0,0
19147,1794
23443,1819
23719,1832
24193,1840
24422,1718
24625,1597
25061,1613
25206,1621
25484,1623
0,0
19755,822
20600,804
21520,810
0,0
21440,1166
22190,1169
22861,1207
0,0
22131,932
24934,893
25475,874
26098,887
26467,1091
26677,1214
26920,1320
0,0
25671,1470
28220,1374
28950,1388
0,0
27849,1269
28203,1247
28341,976
28403,817
28581,693
29149,448
29423,695
29526,780
29776,801
30005,843
30138,961
30246,1032
30617,996
0,0
28956,1702
31365,1673
31882,1676
32056,1678
32159,1734
32327,1822
32539,1813
32723,1820
32978,1749
33087,1709
33184,1710
33707,1691
34339,1710
34750,1700
34982,1581
35268,1369
35826,1619
36185,1699
36454,1484
36769,1252
37293,1240
37578,1215
37796,1136
37975,1072
38124,1073
38238,1076
38370,1005
38677,889
39006,907
0,0
29007,1254
30247,1224
31043,1253
0,0
38317,1612
38558,1639
38689,1775
38892,1955
39091,1801
39256,1710
39496,1669
39967,1452
40221,1572
40370,1661
40682,1382
41244,907
41669,991
41840,1036
42015,989
42303,941
42533,1030
43116,1359
43991,1208
0,0
42049,911
42469,661
42654,690
42856,731
43027,834
43360,997
43825,922
0,0
43743,1622
43898,1460
44156,1505
44291,1519
44357,1573
44413,1654
44622,1641
44728,1662
44763,1725
44804,1855
45090,1744
45319,1620
45555,1610
45692,1583
45787,1516
45919,1433
46084,1443
46290,1459
46409,1642
46586,1811
47047,1694
47284,1550
47423,1440
47635,1289
47914,1021
0,0
48030,1362
48466,1278
48604,1446
48718,1549
48811,1548
48968,1564
49167,1708
49435,1827
49587,1781
49739,1747
49864,1870
49945,2011
50856,1861
51224,1821
51958,2028
0,0
48887,968
49023,1079
49148,1085
49309,1089
49478,1192
49666,1291
49807,1270
49939,1234
50152,1236
50349,1315
50509,1231
50717,1111
51007,1217
51417,1399
51834,1937
0,0
49124,330
49281,405
49303,528
49358,670
50103,1172
0,0
50932,1026
51185,1102
51342,1213
0,0
51348,966
51755,986
52202,1218
52608,1494
53234,1710
53534,1773
54189,1751
55110,1746
55453,1724
55917,1674
56133,1474
56350,1268
56806,1251
57725,1220
58867,1180
59252,1202
59481,924
59629,756
59926,734
60168,728
60317,872
60565,1021
60788,1101
61081,1155
61393,1049
61743,888
63725,983
63975,979
64189,984
64631,1040
64990,1215
65178,1307
65681,1310
66234,1314
66990,1327
67277,1337
67482,1235
67562,1176
67921,1169
68142,1169
68883,1181
0,0
57748,1169
58429,1849
59469,1896
60772,1882
62314,1849
0,0
68419,1763
69407,1635
70178,1657
70322,1668
70427,1719
70551,1789
70792,1798
71014,1802
71214,1729
71386,1688
71606,1682
73886,1668
74478,1669
0,0
72393,989
73632,1010
74449,1045
0,0
74480,1374
77564,1344
78383,1336
80218,1256
82066,1120
0,0
78096,1314
78569,1551
78814,1637
79054,1733
79540,1769
82883,1739
84569,1738
85982,1738
87321,1737
88106,1734
88448,1751
88764,1758
88900,1699
89024,1667
89252,1677
89494,1678
90062,1641
90529,1652
90755,1730
90866,1767
91162,1780
91441,1781
92657,1767
93670,1771
95228,1767
96466,1770
97338,1764
98566,1758
99782,1761
0,0
82042,870
83309,842
83700,830
0,0
83653,1056
83993,1047
84455,1048
0,0
0,1600
0,1000
0,0
4950,1600
4950,1450
0,0
5600,1500
5600,1800
0,0
7719,1161
7720,1350
0,0
10996,1178
11002,1478
0,0
16911,1087
16913,1260
0,0
19822,880
19823,1111
0,0
21461,1361
21463,870
0,0
28927,1778
28928,1440
0,0
61363,1328
61374,1805
0,0
74559,1760
74560,1502
0,0
82096,934
82096,1268
0,0
83655,873
83659,1145
